Date,AAPL,JPM,PG,UAL
1/2/2008,5.949703217,29.44861412,47.05883789,29.91523361
1/3/2008,5.952452183,29.24609375,47.05883789,29.69079971
1/4/2008,5.498070717,28.58268166,46.87009811,31.00000191
1/7/2008,5.424478054,28.86899948,47.17597961,29.18000031
1/8/2008,5.229351044,27.72374725,47.29962921,24.38999939
1/9/2008,5.478221893,28.11480141,47.20851135,26.03000069
1/10/2008,5.436081409,28.86201859,47.16946411,32.18999863
1/11/2008,5.27332449,28.53380013,45.67264938,32.06999969
1/14/2008,5.459289551,28.8829689,45.74423218,32.93000031
1/15/2008,5.161867619,27.35361862,45.36024094,34.56999969
1/16/2008,4.874822617,28.93184662,45.02669525,34.63999939
1/17/2008,4.912993431,27.9611702,44.52304077,33.41999817
1/18/2008,4.927346706,27.64691734,43.9213028,32.93999863
1/22/2008,4.752678394,28.53380013,42.60005951,31.87000084
1/23/2008,4.24669075,31.92769051,43.32607269,36.40999985
1/24/2008,4.140729904,31.3969574,43.26721573,34.47000122
1/25/2008,3.970031261,30.47515488,42.71778107,34.86999893
1/28/2008,3.970031261,31.82293701,42.70471191,35.63000107
1/29/2008,4.01675272,33.13579941,42.30572891,35.66999817
1/30/2008,4.036295414,33.06596756,42.57389069,36
1/31/2008,4.133402348,33.10088348,42.7897377,37.95000076
2/1/2008,4.084237576,33.69445801,43.20180511,41.13999939
2/4/2008,4.020111084,32.27684784,43.26721573,38.58000183
2/5/2008,3.950182438,30.64973068,42.54120255,36.65999985
2/6/2008,3.725435257,30.53102875,42.71778107,37.66999817
2/7/2008,3.702227354,31.50170326,43.01867294,39.54999924
2/8/2008,3.831701756,30.60086823,42.5281105,39.95999908
2/11/2008,3.952930689,30.27265167,43.16910172,40.11000061
2/12/2008,3.812769413,30.24472237,43.92782974,38.83000183
2/13/2008,3.951405525,30.79639244,43.82318115,38.59000015
2/14/2008,3.89216423,29.75587654,43.58117294,37.02999878
2/15/2008,3.805746078,30.20280647,43.36534882,37.34999847
2/19/2008,3.73093152,29.9095192,43.37187195,35.81000137
2/20/2008,3.781011581,30.13297462,43.28030014,37.13999939
2/21/2008,3.711388588,30.07710075,43.14294052,35.90999985
2/22/2008,3.647872686,30.67767906,43.30645752,35.49000168
2/25/2008,3.65642333,30.74751091,43.61387253,35.25
2/26/2008,3.638406515,30.53102875,44.26794052,34.95000076
2/27/2008,3.75475049,31.0128727,43.96053696,33.22999954
2/28/2008,3.966976881,29.63716888,43.80355072,31.94000053
2/29/2008,3.817655802,28.38715744,43.28684235,30.29999924
3/3/2008,3.71718955,27.80753517,43.39804459,29.34000015
3/4/2008,3.805439711,27.36758995,43.20180511,28.39999962
3/5/2008,3.801469564,27.05334473,43.62694931,30.17000008
3/6/2008,3.692761183,26.09662247,43.50268555,28.30999947
3/7/2008,3.733069897,26.2293148,43.0382843,28.09000015
3/10/2008,3.654896975,25.47511864,43.01212692,26.48999977
3/11/2008,3.888805866,27.12317657,43.60079956,26.82999992
3/12/2008,3.848497152,26.96254539,43.84934998,24.29000092
3/13/2008,3.906821489,26.61339188,44.05865479,24.04999924
3/14/2008,3.866208076,25.51701164,43.65312576,22.68000031
3/17/2008,3.869871855,28.14971733,43.85588837,20.90999985
3/18/2008,4.055837154,29.82571411,44.83047104,22.56999969
3/19/2008,3.959649324,29.65811539,44.3529892,23.18000031
3/20/2008,4.069579124,32.10227585,45.37335205,23.17000008
3/24/2008,4.260738373,32.50730515,45.76578903,23.63999939
3/25/2008,4.305015087,32.16511917,45.48453903,24.12999916
3/26/2008,4.429602623,30.80337906,45.54994965,21.98999977
3/27/2008,4.282723904,29.93046761,45.39951324,21.25
3/28/2008,4.367004871,29.82571411,45.41911697,21.19000053
3/31/2008,4.381966114,29.99332237,45.83119202,21.53000069
4/1/2008,4.566102028,32.82155228,46.53105164,23.12999916
4/2/2008,4.503807545,32.55401611,46.09938049,22.04000092
4/3/2008,4.629616261,32.58218384,46.09282303,21.79000092
4/4/2008,4.674504757,32.08233261,46.17786026,21.20000076
4/7/2008,4.760312557,32.06121445,46.11899948,22.18000031
4/8/2008,4.667176723,31.58246994,46.2105751,22.72999954
4/9/2008,4.624424458,31.18821716,45.9227562,21.15999985
4/10/2008,4.719392776,30.87844849,45.90315247,22.39999962
4/11/2008,4.493118286,29.94210052,45.78541946,22.89999962
4/14/2008,4.51266098,29.21695328,45.86390305,23.61000061
4/15/2008,4.530984402,29.6534462,45.93584442,22.31999969
4/16/2008,4.69343853,31.65287781,45.56746674,22.86000061
4/17/2008,4.717562675,31.76551628,44.44258118,22.39999962
4/18/2008,4.917574883,32.21609497,44.18603134,22.85000038
4/21/2008,5.134994507,31.84296036,44.60046005,21.43000031
4/22/2008,4.891925335,32.1386528,44.38338852,13.55000019
4/23/2008,4.974066734,31.78664398,44.18603134,13.94999981
4/24/2008,5.158811092,33.06795883,43.96240234,15.39999962
4/25/2008,5.182937145,33.64526749,43.77818298,15.21000004
4/28/2008,5.259581566,33.32844925,43.55453491,14.81000042
4/29/2008,5.345389843,33.14539719,43.35059738,14.93000031
4/30/2008,5.311799526,33.54669571,44.10709763,14.89999962
5/1/2008,5.496544838,34.67314148,44.09393692,16.10000038
5/2/2008,5.52524662,34.25775909,43.94263077,15.89000034
5/5/2008,5.640981197,33.79308319,43.84396362,15
5/6/2008,5.699915886,33.93392181,43.84396362,14.14999962
5/7/2008,5.575632095,32.78634644,43.28482819,13.81999969
5/8/2008,5.65105772,32.42024994,43.36375427,13.53999996
5/9/2008,5.601893425,32.78634644,42.896698,13.71000004
5/12/2008,5.74571991,33.25805283,42.98879623,14
5/13/2008,5.800686359,32.01896667,43.23876953,13.71000004
5/14/2008,5.687701225,32.32169342,43.08748627,14.17000008
5/15/2008,5.793661594,33.1031723,43.65320587,14.38000011
5/16/2008,5.729230404,32.75819397,43.90975189,13.81000042
5/19/2008,5.606474876,32.37803268,43.98212051,12.42000008
5/20/2008,5.676708698,30.7658062,43.3242836,11.56000042
5/21/2008,5.441272736,29.86466026,42.87038803,8.149999619
5/22/2008,5.406462193,30.30818939,43.16641998,8.149999619
5/23/2008,5.532271385,29.79425621,42.93617249,7.519999981
5/27/2008,5.692892075,30.28001404,42.80461121,8.180000305
5/28/2008,5.710604191,30.17442513,42.67305374,7.909999847
5/29/2008,5.700831413,30.67428017,43.06774139,8.390000343
5/30/2008,5.763737202,30.27298927,43.44927597,8.539999962
6/2/2008,5.682816029,29.6745739,42.9953804,7.880000114
6/3/2008,5.660523415,29.49152565,43.02825928,8.529999733
6/4/2008,5.655028343,29.30849075,43.71240616,9.140000343
6/5/2008,5.784502029,29.63937187,43.85712814,10.10999966
6/6/2008,5.66876936,28.22428513,43.00195313,8.640000343
6/9/2008,5.545707703,26.40790558,43.46244431,8.279999733
6/10/2008,5.66876936,26.95704079,43.85055542,8.25
6/11/2008,5.521278858,26.14038277,43.54794693,7.21999979
6/12/2008,5.290730476,26.75991249,43.71898651,6.309999943
6/13/2008,5.263552189,27.86523438,43.71240616,6.860000134
6/16/2008,5.400048733,28.11867332,43.35059738,7.190000057
6/17/2008,5.540210724,27.48504829,43.28482819,7
6/18/2008,5.458374977,27.27385521,42.75855637,6.550000191
6/19/2008,5.524024963,27.210495,42.69278336,8.109999657
6/20/2008,5.352106094,26.65431213,41.54816437,7.159999847
6/23/2008,5.287677288,25.9573307,41.39686966,6.090000153
6/24/2008,5.29042244,26.55574608,41.35082626,6.010000229
6/25/2008,5.416844368,26.68951035,41.76525497,5.75
6/26/2008,5.138046741,25.57011223,40.94954681,5.559999943
6/27/2008,5.193928719,24.67601013,39.79177094,5.559999943
6/30/2008,5.113007545,24.15503311,40.00227737,5.21999979
7/1/2008,5.33409071,24.21910858,40.77193069,4.599999905
7/2/2008,5.135605335,24.63200378,41.23899078,4.010000229
7/3/2008,5.194844246,25.13746643,41.88365173,3.859999895
7/7/2008,5.348748207,24.23334312,41.3837204,4.190000057
7/8/2008,5.482802868,25.46494293,41.87707901,4.75
7/9/2008,5.320960045,24.4041996,41.96916962,4.409999847
7/10/2008,5.393636227,24.56794167,42.24547577,4.170000076
7/11/2008,5.269962788,23.60686111,41.73893356,3.630000114
7/14/2008,5.309660912,22.56034851,42.05467987,3.430000067
7/15/2008,5.180185795,22.08337975,42.33097076,3.130000114
7/16/2008,5.276987076,25.58596039,42.29125214,4.429999828
7/17/2008,5.246451378,29.04583931,42.29125214,5.070000172
7/18/2008,5.043078423,28.49055481,42.14562988,5.449999809
7/21/2008,5.077889919,27.51524162,42.12577057,4.989999771
7/22/2008,4.947500706,29.08855057,42.43026733,8.409999847
7/23/2008,5.076975346,29.8716507,42.82743454,9.350000381
7/24/2008,4.856196404,27.86406517,42.7016716,7.449999809
7/25/2008,4.950553417,28.13459969,42.66856766,7.650000095
7/28/2008,4.714814663,26.81044388,42.25154114,7.010000229
7/29/2008,4.796652317,29.01024246,43.38345718,8.510000229
7/30/2008,4.882152081,29.59399796,44.06525421,7.900000095
7/31/2008,4.85375309,28.92481422,43.34373474,8.31000042
8/1/2008,4.78382349,29.01736641,42.99291229,8.199999809
8/4/2008,4.679084301,28.5759716,43.56880569,8.930000305
8/5/2008,4.905361176,29.8218174,44.99197388,10.23999977
8/6/2008,5.013763428,29.46585846,44.85957718,10.10000038
8/7/2008,4.994832516,28.34106064,44.66761398,9.609999657
8/8/2008,5.177438736,29.23805428,46.09077835,11.13000011
8/11/2008,5.299890041,29.8218174,45.95841217,12.27000046
8/12/2008,5.396690845,26.99554443,46.5607605,13.30000019
8/13/2008,5.475169182,26.27651596,46.07092667,12.06000042
8/14/2008,5.475779533,26.9172287,46.14373779,12.68000031
8/15/2008,5.366459846,27.10232925,47.39481354,14.18000031
8/18/2008,5.355772018,26.15549088,47.17637253,14.93999958
8/19/2008,5.298974991,25.32967949,46.81229782,13.56999969
8/20/2008,5.369512081,26.34057808,46.53430176,12.39999962
8/21/2008,5.322179794,25.81377983,46.26950836,11.32999992
8/22/2008,5.398522377,26.81757164,47.40142059,12.72000027
8/25/2008,5.269047737,25.72123146,46.4217453,12.17000008
8/26/2008,5.302333355,26.06293678,46.22980499,11.14999962
8/27/2008,5.333786011,26.4402523,46.37543106,9.880000114
8/28/2008,5.30538702,27.67897987,47.00426102,11
8/29/2008,5.176828384,27.40132523,46.18345261,11.10999966
9/2/2008,5.074837208,27.75727844,46.64680862,12.40999985
9/3/2008,5.098350525,28.26984787,47.27563858,12.56000042
9/4/2008,4.923069954,26.98842239,46.62697983,11.92000008
9/5/2008,4.891312599,28.19154549,46.85201645,12.30000019
9/8/2008,4.822300434,29.57977104,47.90450287,10.92000008
9/9/2008,4.631753922,28.09899902,47.58675003,10.60000038
9/10/2008,4.629616261,28.04916382,47.91772842,9.970000267
9/11/2008,4.661374569,29.65096283,48.3744812,11.11999989
9/12/2008,4.548083782,29.30924225,48.42080688,11.35999966
9/15/2008,4.286083221,26.34057808,47.75223923,12.35999966
9/16/2008,4.271423817,29.00311661,47.65956879,14.02000046
9/17/2008,3.90346241,25.46494293,46.95793533,12.52999973
9/18/2008,4.094620228,28.68989754,47.20284271,12.90999985
9/19/2008,4.30287838,33.49525452,46.57401276,13.23999977
9/22/2008,4.001788616,29.04583931,45.038311,11.80000019
9/23/2008,3.873231173,28.87498093,44.53523254,11.80000019
9/24/2008,3.930334568,28.83225822,45.50167465,10.35000038
9/25/2008,4.028661251,30.93952179,45.34942245,9.960000038
9/26/2008,3.915981293,34.34241867,45.56785965,9.149999619
9/29/2008,3.214256525,29.18821335,44.18439865,8.329999924
9/30/2008,3.470762968,33.24608231,46.13049698,8.789999962
10/1/2008,3.332126856,35.33198166,47.17637253,9.520000458
10/2/2008,3.056689262,35.76242065,47.28890991,9.109999657
10/3/2008,2.964164019,32.92869949,47.01088715,8.109999657
10/6/2008,2.996837139,31.56563568,45.39575958,6.699999809
10/7/2008,2.722621679,28.20819092,43.85342407,5.019999981
10/8/2008,2.741859198,28.19384766,43.75413895,5.400000095
10/9/2008,2.709796429,26.31425667,40.29882431,5.349999905
10/10/2008,2.955919266,29.87257004,39.42506027,6.019999981
10/13/2008,3.366938353,30.12365723,41.89409637,7
10/14/2008,3.178223848,29.20537567,42.43026733,7.130000114
10/15/2008,2.9910357,27.61273956,39.59717178,7.349999905
10/16/2008,3.111349583,29.04755783,40.88794708,10.30000019
10/17/2008,2.974240065,28.21536446,40.8680954,12.27999973
10/20/2008,3.00599885,29.16950798,42.30450439,12.67000008
10/21/2008,2.79377079,28.50951385,41.67564774,13.80000019
10/22/2008,2.95805645,26.66578484,39.144207,14.64999962
10/23/2008,2.99958539,27.15361404,40.34996796,12.51000023
10/24/2008,2.943094015,25.41750717,39.21748352,11.94999981
10/27/2008,2.812093019,24.39162254,38.2182312,11.39999962
10/28/2008,3.050887108,26.97426605,42.12200546,12.76000023
10/29/2008,3.192575932,25.61836815,40.62977219,11
10/30/2008,3.390756369,26.98861313,42.02206421,13.18000031
10/31/2008,3.285406113,29.59277725,42.99467468,14.56000042
11/3/2008,3.266168118,29.21973228,42.90141678,16.59000015
11/4/2008,3.389230013,30.25279045,44.01392365,15.47999954
11/5/2008,3.154406309,28.13645172,42.50836182,14.46000004
11/6/2008,3.026152372,27.447752,42.20192719,14.27000046
11/7/2008,2.999890804,27.08187485,42.96136856,13.97999954
11/10/2008,2.927825451,26.1205616,43.26779938,13.34000015
11/11/2008,2.893929958,26.07751656,42.51504135,12.82999992
11/12/2008,2.751935482,24.8005352,41.20267487,9.329999924
11/13/2008,2.944926262,26.68013191,43.33441925,11
11/14/2008,2.755601168,24.72879791,42.04204941,10.14999962
11/17/2008,2.691474438,23.50922203,41.64234924,10.68999958
11/18/2008,2.745523214,23.05725479,42.8014946,11.02999973
11/19/2008,2.634981632,20.42439651,41.48246002,8.56000042
11/20/2008,2.457871675,16.77282524,39.52393341,7.53000021
11/21/2008,2.521692276,16.2993412,42.02872849,7.670000076
11/24/2008,2.838354349,19.78590393,43.08794022,8.850000381
11/25/2008,2.772701263,21.35701561,42.08867645,11.03999996
11/26/2008,2.900954247,21.96681023,42.07535934,11.02999973
11/28/2008,2.829803467,22.71290398,42.86810684,11.25
12/1/2008,2.715597391,18.73851013,40.29668045,8.93999958
12/2/2008,2.82369709,20.46743965,40.92953873,9.640000343
12/3/2008,2.928436995,21.70137024,41.88883591,9.920000076
12/4/2008,2.791328669,22.29681778,40.8029747,10.43000031
12/5/2008,2.87041688,23.92530251,41.72228622,11.76000023
12/8/2008,3.045085907,26.177948,41.62903214,12.10000038
12/9/2008,3.055467129,24.36292076,39.83036041,10.52000046
12/10/2008,2.998974562,24.04727173,39.3840332,10.35999966
12/11/2008,2.900954247,21.4789753,39.02429581,9.430000305
12/12/2008,3.000808239,22.19637489,39.26411057,9.93999958
12/15/2008,2.893319607,20.53918076,39.54390717,9.520000458
12/16/2008,2.914084196,23.20790291,41.04946136,10.22000027
12/17/2008,2.722621679,22.85638428,40.43657303,10.60000038
12/18/2008,2.730866909,21.67267418,40.17676544,11.01000023
12/19/2008,2.748272896,21.7515831,40.09017944,11.09000015
12/22/2008,2.618186951,21.39288712,40.27670288,10.67000008
12/23/2008,2.63773036,20.88352776,39.85701752,10.36999989
12/24/2008,2.596812248,21.41440773,40.23005676,10.57999992
12/26/2008,2.620325089,21.37853622,40.32332611,10.52000046
12/29/2008,2.644753218,21.36419106,40.10348892,10.56999969
12/30/2008,2.634981632,22.24659729,40.71637344,10.73999977
12/31/2008,2.606277943,22.61964417,41.18269348,11.02000046
1/2/2009,2.771173954,22.76487923,41.83553314,11.86999989
1/5/2009,2.888127804,21.23995209,41.53575516,11.44999981
1/6/2009,2.840491533,21.69742584,41.41585159,12.06000042
1/7/2009,2.779113531,20.39761734,40.68972778,12.06000042
1/8/2009,2.830719948,19.76586533,40.24338913,12.77000046
1/9/2009,2.765983105,18.85817719,39.87699509,12.23999977
